 56,     384.00,     158.00,       1.00,       0.00,    2575.09,    2575.09,     384.00,     158.00,       0.00,       0.00,     384.00,     384.00,     185.00,     384.00,     995.57,      54.60,      47.16,       0.00
  7,     326.00,      24.00,       1.00,       0.00,    2324.08,    2324.08,     326.00,      24.00,       0.00,       0.00,     326.00,     326.00,     185.00,     326.00,    1265.24,      18.24,     127.42,       0.00
  8,     328.00,      42.00,       1.00,       0.00,    2680.89,    2680.89,     328.00,      42.00,       0.00,       0.00,     328.00,     328.00,     185.00,     328.00,     927.64,      13.82,     194.01,       0.00
 10,     336.00,     113.00,       1.00,       0.00,    2619.18,    2619.18,     336.00,     113.00,       0.00,       0.00,     336.00,     336.00,     185.00,     336.00,     904.55,      50.43,      51.93,       0.00
 12,     365.00,     181.00,       1.00,       0.00,    2306.98,    2306.98,     365.00,     181.00,       0.00,       0.00,     365.00,     365.00,     185.00,     365.00,    1196.53,      10.05,     229.66,       0.00
 15,     384.00,     158.00,       2.00,       0.00,    3400.71,    6978.41,     384.00,     157.49,       0.00,       0.50,     384.00,     384.00,     185.00,     384.00,    1092.57,      25.97,     189.97,       0.00
 16,       3.00,      26.00,       2.00,       0.00,    2665.32,    5511.82,       3.00,      26.51,       0.00,       0.50,       3.00,       3.00,       3.00,       3.00,    1476.31,       0.00,       0.00,       0.00
 17,      15.00,     134.00,       1.00,       0.00,    2678.68,    2678.68,      15.00,     134.00,       0.00,       0.00,      15.00,      15.00,      15.00,      15.00,     968.27,      13.40,     199.92,       0.00
 18,      30.00,      75.00,       1.00,       0.00,    2423.85,    2423.85,      30.00,      75.00,       0.00,       0.00,      30.00,      30.00,      30.00,      30.00,    1169.99,      57.09,      42.46,       0.00
 19,     103.00,     161.00,       2.00,       0.00,    6549.61,    8914.58,     103.00,     160.69,       0.00,       0.46,     103.00,     103.00,     103.00,     103.00,    1118.20,      92.12,      68.42,       0.00
 20,     105.00,     178.00,       1.00,       0.00,    3063.71,    3063.71,     105.00,     178.00,       0.00,       0.00,     105.00,     105.00,     105.00,     105.00,     936.39,      29.33,     104.47,       0.00
 21,     143.00,     123.00,       1.00,       0.00,    2601.97,    2601.97,     143.00,     123.00,       0.00,       0.00,     143.00,     143.00,     143.00,     143.00,    1221.09,       8.13,     319.85,       0.00
 23,     221.00,      49.00,       1.00,       0.00,    2294.55,    2294.55,     221.00,      49.00,       0.00,       0.00,     221.00,     221.00,     185.00,     221.00,    1369.70,      54.81,      41.86,       0.00
 34,     384.00,     157.00,       2.00,       0.00,    3640.07,    6847.69,     384.00,     157.48,       0.00,       0.50,     384.00,     384.00,     185.00,     384.00,    1162.26,      35.00,     138.36,       0.00
 35,       3.00,      26.00,       2.00,       0.00,    3163.88,    5360.56,       3.00,      26.43,       0.00,       0.50,       3.00,       3.00,       3.00,       3.00,    1034.99,       0.00,       0.00,       0.00
 41,     185.00,     112.00,       1.00,       0.00,    2613.86,    2613.86,     185.00,     112.00,       0.00,       0.00,     185.00,     185.00,     185.00,     185.00,    1240.57,      20.83,     125.46,       0.00
  1,     214.00,     180.00,       2.00,       0.00,    3739.21,    6984.45,     214.00,     179.52,       0.00,       0.50,     214.00,     214.00,     185.00,     214.00,    2058.04,      67.66,      72.99,       0.00
  2,     235.00,     174.00,       1.00,       0.00,    3976.51,    3976.51,     235.00,     174.00,       0.00,       0.00,     235.00,     235.00,     185.00,     235.00,    2004.15,       7.60,     523.23,       0.00
  5,     284.00,      33.00,       1.00,       0.00,    4114.50,    4114.50,     284.00,      33.00,       0.00,       0.00,     284.00,     284.00,     185.00,     284.00,    1787.24,      94.03,      43.76,       0.00
  6,     290.00,      87.00,       2.00,       0.00,    3866.24,    7663.88,     290.00,      87.50,       0.00,       0.50,     290.00,     290.00,     185.00,     290.00,    1690.57,      73.46,      73.78,       0.00
 10,     330.00,      59.00,       1.00,       0.00,    3606.03,    3606.03,     330.00,      59.00,       0.00,       0.00,     330.00,     330.00,     185.00,     330.00,    2176.48,       4.25,     848.48,       0.00
 17,       2.00,     180.00,       1.00,       0.00,    4548.25,    4548.25,       2.00,     180.00,       0.00,       0.00,       2.00,       2.00,       2.00,       2.00,    2177.51,       0.00,       0.00,       0.00
 18,       3.00,      26.00,       2.00,       0.00,    4654.72,    8872.94,       3.00,      26.48,       0.00,       0.50,       3.00,       3.00,       3.00,       3.00,    1668.88,       0.00,       0.00,       0.00
 22,     183.00,      95.00,       1.00,       0.00,    4077.79,    4077.79,     183.00,      95.00,       0.00,       0.00,     183.00,     183.00,     183.00,     183.00,    1658.33,      65.58,      62.18,       0.00
 23,     185.00,      51.00,       1.00,       0.00,    7237.58,    7237.58,     185.00,      51.00,       0.00,       0.00,     185.00,     185.00,     185.00,     185.00,    1897.11,     113.29,      63.89,       0.00
 25,     206.00,     107.00,       1.00,       0.00,    4052.56,    4052.56,     206.00,     107.00,       0.00,       0.00,     206.00,     206.00,     185.00,     206.00,    1776.05,      86.71,      46.74,       0.00
 26,     212.00,     161.00,       1.00,       0.00,    3666.57,    3666.57,     212.00,     161.00,       0.00,       0.00,     212.00,     212.00,     185.00,     212.00,    1896.98,      51.12,      71.72,       0.00
 29,     244.00,      62.00,       1.00,       0.00,    3715.39,    3715.39,     244.00,      62.00,       0.00,       0.00,     244.00,     244.00,     185.00,     244.00,    2153.65,      91.69,      40.52,       0.00
 31,     256.00,     170.00,       2.00,       0.00,    4677.83,    8130.62,     256.00,     169.55,       0.00,       0.50,     256.00,     256.00,     185.00,     256.00,    1762.27,       1.06,    5423.79,       0.00
 32,     259.00,       2.00,       1.00,       0.00,    3800.12,    3800.12,     259.00,       2.00,       0.00,       0.00,     259.00,     259.00,     185.00,     259.00,    1829.73,       0.00,       0.00,       0.00
 37,     288.00,      69.00,       2.00,       0.00,    3671.16,    6926.18,     288.00,      69.48,       0.00,       0.50,     288.00,     288.00,     185.00,     288.00,    2183.82,      36.24,     135.12,       0.00
 40,     317.00,     137.00,       1.00,       0.00,    3713.42,    3713.42,     317.00,     137.00,       0.00,       0.00,     317.00,     317.00,     185.00,     317.00,    1995.27,      41.36,      89.78,       0.00
 42,     334.00,      95.00,       1.00,       0.00,    3903.31,    3903.31,     334.00,      95.00,       0.00,       0.00,     334.00,     334.00,     185.00,     334.00,    1742.05,      48.30,      80.81,       0.00
 44,     338.00,     132.00,       1.00,       0.00,    3940.95,    3940.95,     338.00,     132.00,       0.00,       0.00,     338.00,     338.00,     185.00,     338.00,    1728.64,      66.35,      59.39,       0.00
 51,       3.00,      26.00,       2.00,       0.00,    5346.67,   10427.01,       3.00,      26.49,       0.00,       0.50,       3.00,       3.00,       3.00,       3.00,    2175.40,       0.00,       0.00,       0.00
 52,       5.00,      44.00,       1.00,       0.00,    3354.35,    3354.35,       5.00,      44.00,       0.00,       0.00,       5.00,       5.00,       5.00,       5.00,    2200.38,       8.64,     388.01,       0.00
 55,     296.00,      13.00,       1.00,       0.00,    8778.78,    8778.78,     296.00,      13.00,       0.00,       0.00,     296.00,     296.00,     185.00,     296.00,     564.35,      92.88,      94.52,       0.00
 56,     298.00,      31.00,       1.00,       0.00,   11800.09,   11800.09,     298.00,      31.00,       0.00,       0.00,     298.00,     298.00,     185.00,     298.00,     533.91,     147.53,      79.98,       0.00
 10,     307.00,      46.00,       2.00,       0.00,    3987.65,    7085.66,     307.00,      46.46,       0.00,       0.50,     307.00,     307.00,     185.00,     307.00,    2145.43,      37.53,     133.48,       0.00
 11,     313.00,     101.00,       1.00,       0.00,    3231.84,    3231.84,     313.00,     101.00,       0.00,       0.00,     313.00,     313.00,     185.00,     313.00,    2281.89,      79.28,      40.76,       0.00
 12,     315.00,     119.00,       1.00,       0.00,    3525.00,    3525.00,     315.00,     119.00,       0.00,       0.00,     315.00,     315.00,     185.00,     315.00,    2058.72,       0.19,   19054.08,       0.00
 15,     332.00,      77.00,       1.00,       0.00,    3935.25,    3935.25,     332.00,      77.00,       0.00,       0.00,     332.00,     332.00,     185.00,     332.00,    1809.98,      96.92,      40.60,       0.00
 17,     345.00,       1.00,       1.00,       0.00,    3675.24,    3675.24,     345.00,       1.00,       0.00,       0.00,     345.00,     345.00,     185.00,     345.00,    2374.18,       0.00,       0.00,       0.00
 22,     380.00,     121.00,       1.00,       0.00,    3759.70,    3759.70,     380.00,     121.00,       0.00,       0.00,     380.00,     380.00,     185.00,     380.00,    2187.53,      24.93,     150.78,       0.00
 23,     384.00,     157.00,       2.00,       0.00,    5589.93,   10181.88,     384.00,     157.47,       0.00,       0.50,     384.00,     384.00,     185.00,     384.00,    2341.33,      97.77,      73.64,       0.00
 24,       3.00,      26.00,       2.00,       0.00,    4710.32,    9952.82,       3.00,      26.52,       0.00,       0.50,       3.00,       3.00,       3.00,       3.00,    2094.31,       0.00,       0.00,       0.00
 27,     227.00,      29.00,       1.00,       0.00,    9343.69,    9343.69,     227.00,      29.00,       0.00,       0.00,     227.00,     227.00,     185.00,     227.00,    1039.91,     170.41,      54.83,       0.00
 28,     229.00,      47.00,       1.00,       0.00,   11923.20,   11923.20,     229.00,      47.00,       0.00,       0.00,     229.00,     229.00,     185.00,     229.00,     873.20,     285.99,      41.69,       0.00
 31,     235.00,     174.00,       1.00,       0.00,    4450.19,    4450.19,     235.00,     174.00,       0.00,       0.00,     235.00,     235.00,     185.00,     235.00,    1610.57,      43.70,     101.84,       0.00
 33,     254.00,     151.00,       2.00,       0.00,    3725.62,    7311.63,     254.00,     151.49,       0.00,       0.50,     254.00,     254.00,     185.00,     254.00,    1958.20,      84.28,      61.34,       0.00
 34,     273.00,     128.00,       2.00,       0.00,    3948.39,    8283.96,     273.00,     128.52,       0.00,       0.50,     273.00,     273.00,     185.00,     273.00,    1609.45,      88.49,      66.20,       0.00
 38,     307.00,      47.00,       1.00,       0.00,    3600.92,    3600.92,     307.00,      47.00,       0.00,       0.00,     307.00,     307.00,     185.00,     307.00,    2003.95,      31.77,     113.34,       0.00
 40,     328.00,      42.00,       2.00,       0.00,    3715.22,    6790.35,     328.00,      41.53,       0.00,       0.50,     328.00,     328.00,     185.00,     328.00,    2326.84,      23.61,     203.32,       0.00
